,acc,bal_acc,eval_loss,f1_macro,f1_micro,f1_score_class_0,f1_score_class_1,f1_score_class_10,f1_score_class_11,f1_score_class_12,f1_score_class_2,f1_score_class_3,f1_score_class_4,f1_score_class_5,f1_score_class_6,f1_score_class_7,f1_score_class_8,f1_score_class_9,f1_weighted,mcc,precision_class_0,precision_class_1,precision_class_10,precision_class_11,precision_class_12,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,precision_macro,precision_micro,precision_weighted,recall_class_0,recall_class_1,recall_class_10,recall_class_11,recall_class_12,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9,recall_macro,recall_micro,recall_weighted,sample_class_0,sample_class_1,sample_class_10,sample_class_11,sample_class_12,sample_class_2,sample_class_3,sample_class_4,sample_class_5,sample_class_6,sample_class_7,sample_class_8,sample_class_9
1,0.3598484848484849,0.24343275888487775,2.0281642788932444,0.2341215562837128,0.3598484848484849,0.3887587822014051,0.2222222222222222,0.22857142857142854,0.0,0.0,0.4110169491525424,0.0,0.2836879432624113,0.20276497695852536,0.4078947368421053,0.4536082474226804,0.0,0.445054945054945,0.3310311868497346,0.2734712561417185,0.33067729083665337,0.3703703703703704,0.2790697674418605,0.0,0.0,0.35661764705882354,0.0,0.3508771929824561,0.23404255319148934,0.4105960264900662,0.4036697247706422,0.0,0.39130434782608703,0.24055576315141916,0.3598484848484849,0.3191660133632643,0.4715909090909091,0.15873015873015872,0.1935483870967742,0.0,0.0,0.485,0.0,0.2380952380952381,0.17886178861788618,0.40522875816993453,0.5176470588235295,0.0,0.5159235668789809,0.24343275888487775,0.3598484848484849,0.3598484848484849,176.0,63.0,62.0,10.0,25.0,200.0,57.0,84.0,123.0,153.0,170.0,40.0,157.0
1,0.3578468536770281,0.22503375808800488,2.0113704091026667,0.20636737819431766,0.3578468536770281,0.3829787234042553,0.0,0.04878048780487805,0.0,0.0,0.3836126629422719,0.03448275862068965,0.25,0.20408163265306128,0.38011695906432746,0.5271317829457365,0.0,0.4715909090909091,0.3155198946790073,0.26886546757026136,0.3279352226720648,0.0,0.09523809523809523,0.0,0.0,0.3047337278106509,1.0,0.42857142857142855,0.2702702702702703,0.3439153439153439,0.4700460829493088,0.0,0.4234693877551021,0.28185996609094344,0.3578468536770281,0.3405290261151608,0.4602272727272727,0.0,0.032786885245901634,0.0,0.0,0.5175879396984925,0.017543859649122806,0.17647058823529413,0.16393442622950818,0.4248366013071895,0.6,0.0,0.532051282051282,0.22503375808800488,0.3578468536770281,0.3578468536770281,176.0,64.0,61.0,10.0,26.0,199.0,57.0,85.0,122.0,153.0,170.0,40.0,156.0
1,0.3608794541319181,0.2276311984242941,2.0334201540265764,0.2087594438506289,0.3608794541319181,0.3982869379014989,0.060606060606060615,0.0547945205479452,0.0,0.0,0.39463601532567055,0.0,0.2647058823529412,0.19883040935672516,0.3857566765578635,0.5439999999999999,0.0,0.4122562674094707,0.3173777189786145,0.27262607218764473,0.31958762886597936,1.0,0.16666666666666666,0.0,0.0,0.3188854489164087,0.0,0.35294117647058826,0.3541666666666667,0.3532608695652174,0.4975609756097561,0.0,0.3645320197044335,0.2867385732665935,0.3608794541319181,0.3509750323369771,0.5284090909090909,0.03125,0.032786885245901634,0.0,0.0,0.5175879396984925,0.0,0.21176470588235294,0.13821138211382114,0.4248366013071895,0.6,0.0,0.4743589743589744,0.2276311984242941,0.3608794541319181,0.3608794541319181,176.0,64.0,61.0,10.0,26.0,199.0,56.0,85.0,123.0,153.0,170.0,40.0,156.0
1,0.3631539044730857,0.2296740289880813,1.9770810093198503,0.21096649915936705,0.3631539044730857,0.41935483870967744,0.030303030303030307,0.05555555555555556,0.0,0.0,0.410958904109589,0.03333333333333333,0.2411347517730497,0.227979274611399,0.38309859154929576,0.4945652173913043,0.0,0.4462809917355372,0.32153470445957233,0.2753042764831051,0.3527131782945737,0.5,0.18181818181818185,0.0,0.0,0.33762057877813506,0.25,0.3035714285714285,0.3142857142857143,0.3349753694581281,0.4595959595959596,0.0,0.3932038834951456,0.26367571494594355,0.3631539044730857,0.3350521891658695,0.5170454545454546,0.015625,0.032786885245901634,0.0,0.0,0.525,0.017857142857142856,0.2,0.17886178861788618,0.4473684210526316,0.5352941176470588,0.0,0.5159235668789809,0.2296740289880813,0.3631539044730857,0.3631539044730857,176.0,64.0,61.0,10.0,25.0,200.0,56.0,85.0,123.0,152.0,170.0,40.0,157.0
1,0.3487490523123579,0.22812979043895698,2.047166963418325,0.2149043328559528,0.3487490523123579,0.3870967741935484,0.08695652173913042,0.1095890410958904,0.0,0.0,0.3752759381898455,0.03389830508474576,0.3521126760563381,0.2,0.36464088397790057,0.4876847290640394,0.0,0.3965014577259475,0.31262914479945714,0.25938518628693713,0.3114186851211073,0.5,0.3333333333333333,0.0,0.0,0.3359683794466403,0.3333333333333333,0.43859649122807015,0.2835820895522388,0.3142857142857143,0.4194915254237288,0.0,0.3655913978494624,0.27966161150566377,0.3487490523123579,0.3344560277450965,0.5113636363636364,0.047619047619047616,0.06557377049180327,0.0,0.0,0.425,0.017857142857142856,0.29411764705882354,0.15447154471544716,0.4342105263157895,0.5823529411764706,0.0,0.43312101910828027,0.22812979043895698,0.3487490523123579,0.3487490523123579,176.0,63.0,61.0,10.0,25.0,200.0,56.0,85.0,123.0,152.0,170.0,41.0,157.0
mean,0.35809554988857495,0.230780306964843,2.0194405629521324,0.21502384206879585,0.35809554988857495,0.395295211282077,0.08001756697408871,0.09945820671513955,0.0,0.0,0.39510009394398393,0.02034287940775375,0.27832825068894806,0.20673125871594217,0.3843015695982985,0.501397995364752,0.0,0.43433691420336185,0.31961852995327716,0.2699304517339334,0.32846640115807574,0.47407407407407404,0.2112252088996275,0.0,0.0,0.3307651564021317,0.31666666666666665,0.37491154356479434,0.29126945879327587,0.351406664742894,0.4500728536698791,0.0,0.3876202073260462,0.27049832579211264,0.35809554988857495,0.33603565774527366,0.49772727272727274,0.05064484126984127,0.07149656266525646,0.0,0.0,0.49403517587939694,0.010651629072681704,0.22408963585434175,0.16286818605890976,0.4272961816305469,0.5670588235294118,0.0,0.4942756818552997,0.230780306964843,0.35809554988857495,0.35809554988857495,176.0,63.6,61.2,10.0,25.4,199.6,56.4,84.8,122.8,152.6,170.0,40.2,156.6
