,tt_fear_abs_GerDracor_schiller-kabale-und-liebe,tt_fear_abs_GerDracor_lessing-philotas,tt_fear_abs_GerDracor_grillparzer-medea,tt_fear_abs_GerDracor_heine-william-ratcliff,tt_fear_abs_GerDracor_goethe-faust-eine-tragoedie,tt_fear_abs_GerDracor_schlegel-canut,tt_fear_abs_GerDracor_muellner-der-neun-und-zwanzigste-februar,tt_fear_abs_TextGrid_-Der_Tod_des_Empedokles,tt_fear_abs_TextGrid_-Ibrahim_Sultan,tt_fear_abs_GerDracor_klinger-die-zwillinge,tt_fear_abs_GerDracor_muellner-die-schuld,tt_fear_abs_GerDracor_klopstock-der-tod-adams,tt_fear_abs_TextGrid_-Agrippina,tt_fear_abs_GerDracor_schiller-don-carlos-infant-von-spanien,tt_fear_abs_GerDracor_grillparzer-sappho,tt_fear_abs_GerDracor_kleist-die-hermannsschlacht,tt_fear_abs_GerDracor_engel-eid-und-pflicht,tt_fear_abs_TextGrid_-Carolus_Stuardus,tt_fear_abs_TextGrid_-Faust.2,tt_fear_abs_GerDracor_weisse-atreus-und-thyest,tt_fear_abs_TextGrid_-Schuldige_Unschuld_oder_Maria_Stuarda,tt_fear_abs_GerDracor_grabbe-kaiser-friedrich-barbarossa,tt_fear_abs_GerDracor_schiller-die-jungfrau-von-orleans,tt_fear_abs_TextGrid_-Mariamne,tt_fear_abs_GerDracor_sturz-julie,tt_fear_abs_GerDracor_schiller-die-piccolomini,tt_fear_abs_GerDracor_goethe-faust-in-urspruenglicher-gestalt,tt_fear_abs_TextGrid_-Sophia,"tt_fear_abs_TextGrid_-Faustine,_der_weibliche_Faust",tt_fear_abs_GerDracor_castelli-jeitteles-der-schicksalsstrumpf,tt_fear_abs_GerDracor_koerner-zriny,tt_fear_abs_GerDracor_grillparzer-ein-treuer-diener-seines-herrn,tt_fear_abs_TextGrid_-Perseus,tt_fear_abs_GerDracor_grabbe-napoleon,tt_fear_abs_GerDracor_goethe-die-natuerliche-tochter,tt_fear_abs_GerDracor_gotter-medea,tt_fear_abs_GerDracor_schiller-die-raeuber,tt_fear_abs_GerDracor_kotzebue-die-spanier-in-peru,tt_fear_abs_GerDracor_wieland-lady-johanna-gray,tt_fear_abs_GerDracor_tieck-karl-von-berneck,tt_fear_abs_GerDracor_schiller-die-verschwoerung-des-fiesco-zu-genua,tt_fear_abs_GerDracor_wagner-die-reue-nach-der-that,tt_fear_abs_TextGrid_-Der_unglueckselige_Soldat,tt_fear_abs_GerDracor_gryphius-cardenio-und-celinde,tt_fear_abs_GerDracor_werner-der-vierundzwanzigste-februar,tt_fear_abs_GerDracor_brawe-der-freigeist,tt_fear_abs_GerDracor_bernard-faust,tt_fear_abs_GerDracor_muellner-koenig-yngurd,tt_fear_abs_GerDracor_klingemann-faust,tt_fear_abs_GerDracor_beer-der-paria,tt_fear_abs_GerDracor_heine-almansor,tt_fear_abs_GerDracor_grillparzer-der-gastfreund,tt_fear_abs_GerDracor_ayrenhoff-virginia,tt_fear_abs_GerDracor_kannengiesser-die-vierbeinigten-philosophen,tt_fear_abs_GerDracor_pfeil-lucie-woodvil,tt_fear_abs_TextGrid_-Epicharis,tt_fear_abs_GerDracor_lessing-emilia-galotti,tt_fear_abs_TextGrid_-Masaniello,tt_fear_abs_GerDracor_kleist-die-familie-schroffenstein,tt_fear_abs_GerDracor_lessing-miss-sara-sampson,tt_fear_abs_GerDracor_goethe-clavigo,tt_fear_abs_GerDracor_goethe-faust-der-tragoedie-zweiter-teil,tt_fear_abs_TextGrid_-D._Faust,tt_fear_abs_GerDracor_grillparzer-die-argonauten,tt_fear_abs_TextGrid_-Cleopatra,tt_fear_abs_GerDracor_gottsched-der-sterbende-cato,tt_fear_abs_GerDracor_brawe-brutus,tt_fear_abs_GerDracor_leisewitz-julius-von-tarent,tt_fear_abs_GerDracor_gerstenberg-ugolino,tt_fear_abs_GerDracor_eichendorff-der-letzte-held-von-marienburg,tt_fear_abs_TextGrid_-Sophonisbe,tt_fear_abs_GerDracor_grabbe-kaiser-heinrich-der-sechste,tt_fear_abs_GerDracor_schiller-die-braut-von-messina,tt_fear_abs_GerDracor_grabbe-herzog-theodor-von-gothland,tt_fear_abs_TextGrid_-Papinianus,tt_fear_abs_GerDracor_schiller-wallensteins-tod,tt_fear_abs_GerDracor_goethe-egmont,tt_fear_abs_GerDracor_schlegel-alarcos,tt_fear_abs_GerDracor_cronegk-codrus,tt_fear_abs_GerDracor_tieck-leben-und-tod-der-heiligen-genoveva,tt_fear_abs_GerDracor_tieck-ritter-blaubart,tt_fear_abs_GerDracor_collin-coriolan,tt_fear_abs_GerDracor_houwald-die-freistatt,tt_fear_abs_TextGrid_-Ibrahim,tt_fear_abs_TextGrid_-Catharina_von_Georgien,tt_fear_abs_GerDracor_bueschel-die-neue-messaline,"tt_fear_abs_TextGrid_-Andreas_Hofer,_der_Sandwirt_von_Passeyer",tt_fear_abs_GerDracor_grillparzer-die-ahnfrau,tt_fear_abs_GerDracor_beer-struensee,tt_fear_abs_GerDracor_grabbe-don-juan-und-faust,tt_fear_abs_GerDracor_schiller-wallensteins-lager,tt_fear_abs_GerDracor_toerring-agnes-bernauerin,tt_fear_abs_TextGrid_-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis,tt_fear_abs_GerDracor_schiller-maria-stuart,tt_fear_abs_GerDracor_grillparzer-koenig-ottokars-glueck-und-ende,tt_fear_abs_GerDracor_uhland-ernst-herzog-von-schwaben,tt_fear_abs_GerDracor_goethe-iphigenie-auf-tauris,tt_fear_abs_GerDracor_richter-eumenides-duester,tt_fear_abs_TextGrid_-Robert_Guiskard__Fragment_,tt_fear_abs_GerDracor_voss-faust,tt_fear_abs_GerDracor_klinger-das-leidende-weib,tt_fear_abs_TextGrid_-Leo_Armenius,tt_fear_abs_TextGrid_-Liberata,average
0,32,9,36,10,32,17,13,17,46,20,29,9,38,59,18,32,44,37,14,24,15,29,48,19,3,23,13,9,8,13,47,31,7,30,21,2,26,38,27,20,50,19,9,15,17,16,25,49,77,21,12,16,30,1,21,48,32,43,19,18,9,35,1,67,59,14,22,12,32,41,73,26,14,92,26,54,27,10,28,37,12,34,5,15,31,0,17,28,37,21,6,16,9,42,31,10,12,9,2,25,21,38,13,25.398058252427184
1,52,6,27,14,34,10,8,24,51,31,18,10,57,65,19,27,24,34,23,23,13,39,56,28,7,24,11,26,21,10,28,32,12,36,23,2,32,70,25,23,28,7,18,20,15,11,27,41,57,15,11,8,21,1,8,53,24,23,44,24,9,50,0,52,105,19,12,6,16,62,61,23,32,110,46,65,22,6,20,28,25,49,5,16,20,1,28,30,68,28,4,14,12,30,33,13,9,14,2,12,25,25,19,26.766990291262136
2,33,8,42,10,20,10,6,23,43,19,27,8,35,56,26,41,34,37,24,36,16,49,47,31,12,23,9,30,29,9,30,64,1,37,24,5,48,45,19,25,38,17,11,18,14,11,25,48,37,11,5,4,26,1,24,31,49,28,34,24,10,50,0,56,23,9,21,10,23,49,8,35,49,80,29,53,52,8,40,54,27,41,5,11,22,1,27,61,55,33,5,20,6,43,38,11,15,6,6,16,15,44,18,26.524271844660195
3,46,8,52,11,34,19,8,18,0,50,30,12,1,92,46,37,46,40,28,52,8,17,64,17,8,20,14,27,20,9,47,77,11,55,28,5,54,47,19,43,74,17,8,28,14,20,20,44,58,15,6,19,30,2,31,1,16,25,28,17,22,47,1,63,3,21,19,15,30,59,3,25,49,75,29,72,43,11,25,50,35,47,9,10,23,0,22,30,40,26,8,29,10,39,30,22,26,9,3,16,16,107,16,28.42718446601942
4,48,13,46,17,65,10,8,20,0,58,24,12,3,70,44,40,41,37,23,22,0,48,54,27,11,32,39,10,25,14,27,71,10,85,32,3,62,49,14,21,87,33,2,22,21,15,36,48,66,21,20,9,29,1,28,2,35,31,61,35,25,50,0,70,1,24,22,16,20,60,1,31,29,102,33,79,53,11,32,44,28,47,10,17,26,1,42,34,55,21,2,29,7,43,70,26,17,5,4,30,29,66,17,30.737864077669904
