,acc,bal_acc,eval_loss,f1_macro,f1_micro,f1_score_class_0,f1_score_class_1,f1_score_class_10,f1_score_class_11,f1_score_class_12,f1_score_class_2,f1_score_class_3,f1_score_class_4,f1_score_class_5,f1_score_class_6,f1_score_class_7,f1_score_class_8,f1_score_class_9,f1_weighted,mcc,precision_class_0,precision_class_1,precision_class_10,precision_class_11,precision_class_12,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,precision_macro,precision_micro,precision_weighted,recall_class_0,recall_class_1,recall_class_10,recall_class_11,recall_class_12,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9,recall_macro,recall_micro,recall_weighted,sample_class_0,sample_class_1,sample_class_10,sample_class_11,sample_class_12,sample_class_2,sample_class_3,sample_class_4,sample_class_5,sample_class_6,sample_class_7,sample_class_8,sample_class_9
1,0.2731512325116589,0.15152265974234044,2.2668635388638108,0.11661666943564312,0.2731512325116589,0.28501228501228504,0.0,0.0,0.0,0.0,0.3240875912408759,0.0,0.0,0.0,0.16666666666666666,0.3273905996758509,0.0,0.4128595600676819,0.20806517131297286,0.16423596695156134,0.2801932367149759,0.0,0.0,0.0,0.0,0.2331932773109244,0.0,0.0,0.0,0.5142857142857142,0.25505050505050497,0.0,0.3168831168831169,0.1230466038650182,0.2731512325116589,0.2128619855301641,0.29,0.0,0.0,0.0,0.0,0.5311004784688995,0.0,0.0,0.0,0.09944751381215468,0.4570135746606335,0.0,0.5922330097087378,0.15152265974234044,0.2731512325116589,0.2731512325116589,200.0,63.0,93.0,6.0,37.0,209.0,32.0,78.0,138.0,181.0,221.0,37.0,206.0
1,0.2958027981345769,0.16611993387603655,2.25173604234736,0.1351407892863714,0.2958027981345769,0.3475935828877005,0.0,0.0,0.0,0.0,0.3079710144927536,0.0,0.0,0.0,0.35668789808917195,0.3734729493891797,0.0,0.37110481586402266,0.2383596772995009,0.19164836568615387,0.3757225433526011,0.0,0.0,0.0,0.0,0.2478134110787172,0.0,0.0,0.0,0.42105263157894735,0.3039772727272727,0.0,0.262,0.12388968144134913,0.2958027981345769,0.21630562139762924,0.32338308457711445,0.0,0.0,0.0,0.0,0.4066985645933015,0.0,0.0,0.0,0.3093922651933701,0.4841628959276018,0.0,0.6359223300970874,0.16611993387603655,0.2958027981345769,0.2958027981345769,201.0,63.0,93.0,6.0,37.0,209.0,32.0,78.0,138.0,181.0,221.0,36.0,206.0
1,0.28247834776815456,0.1576880155622359,2.2763050059054764,0.12304476471262307,0.28247834776815456,0.19636363636363635,0.0,0.0,0.0,0.0,0.3085399449035812,0.0,0.0,0.0,0.3237410071942446,0.35578583765112265,0.0,0.4151515151515152,0.2176555256083996,0.17847413780091784,0.3648648648648649,0.0,0.0,0.0,0.0,0.21663442940038685,0.0,0.0,0.0,0.4639175257731959,0.2877094972067039,0.0,0.3017621145374449,0.12576064859866126,0.28247834776815456,0.21874103945693696,0.13432835820895522,0.0,0.0,0.0,0.0,0.5358851674641149,0.0,0.0,0.0,0.24861878453038674,0.4660633484162896,0.0,0.6650485436893204,0.1576880155622359,0.28247834776815456,0.28247834776815456,201.0,62.0,94.0,6.0,37.0,209.0,32.0,78.0,138.0,181.0,221.0,36.0,206.0
1,0.28,0.15724071426236538,2.2664707823002592,0.12468828392711954,0.28,0.3154761904761905,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.2913385826771654,0.3632567849686848,0.0,0.4108761329305136,0.22083114156813946,0.1744948099206343,0.2245762711864407,0.0,0.0,0.0,0.0,0.22406639004149376,0.0,0.0,0.0,0.5138888888888888,0.3359073359073359,0.0,0.2989010989010989,0.12287230653271218,0.28,0.21403003260391965,0.53,0.0,0.0,0.0,0.0,0.2583732057416268,0.0,0.0,0.0,0.2032967032967033,0.3954545454545455,0.0,0.6570048309178744,0.15724071426236538,0.28,0.28,200.0,62.0,94.0,5.0,37.0,209.0,32.0,78.0,138.0,182.0,220.0,36.0,207.0
1,0.31066666666666665,0.17460796196272887,2.2363544169892657,0.1399009000640112,0.31066666666666665,0.2881844380403458,0.0,0.0,0.0,0.0,0.2875264270613108,0.0,0.0,0.0,0.42651296829971175,0.3709902370990237,0.0,0.4454976303317535,0.2458430798443928,0.20960385884242347,0.3401360544217687,0.0,0.0,0.0,0.0,0.2575757575757576,0.0,0.0,0.0,0.4457831325301205,0.2676056338028169,0.0,0.3309859154929577,0.12631434567872474,0.31066666666666665,0.2199564100995339,0.25,0.0,0.0,0.0,0.0,0.3253588516746411,0.0,0.0,0.0,0.4088397790055249,0.6045454545454545,0.0,0.6811594202898551,0.17460796196272887,0.31066666666666665,0.31066666666666665,200.0,63.0,94.0,5.0,37.0,209.0,32.0,78.0,138.0,181.0,220.0,36.0,207.0
mean,0.2884198090162114,0.16143585708114144,2.2595459572812344,0.12787828148515368,0.2884198090162114,0.2865260265560316,0.0,0.0,0.0,0.0,0.29362499553970434,0.0,0.0,0.0,0.31298942458539203,0.3581792817567723,0.0,0.41109793086909735,0.22615091912668114,0.18369142784033815,0.31709859410813024,0.0,0.0,0.0,0.0,0.23585665308145595,0.0,0.0,0.0,0.47178557861137344,0.2900500489389269,0.0,0.3021064491629237,0.1243767172232931,0.2884198090162114,0.21637901781763674,0.30554228855721394,0.0,0.0,0.0,0.0,0.4114832535885168,0.0,0.0,0.0,0.25391900916762794,0.48144796380090493,0.0,0.646273626940575,0.16143585708114144,0.2884198090162114,0.2884198090162114,200.4,62.6,93.6,5.6,37.0,209.0,32.0,78.0,138.0,181.2,220.6,36.2,206.4
