,acc,auprc,auroc,bal_acc,eval_loss,f1_macro,f1_micro,f1_score_class_0,f1_score_class_1,f1_weighted,fn,fp,mcc,precision_class_0,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_class_0,recall_class_1,recall_macro,recall_micro,recall_weighted,sample_class_0,sample_class_1,tn,tp
1,0.8114824335904027,0.8312683955630498,0.8791589177700478,0.8037160721898536,0.5203885838792129,0.8024906761197887,0.8114824335904027,0.844632768361582,0.7603485838779956,0.8118435483482588,105.0,115.0,0.6051092738717645,0.8506401137980085,0.7521551724137931,0.8013976431059009,0.8114824335904027,0.8123263491121184,0.8387096774193549,0.7687224669603524,0.8037160721898536,0.8114824335904027,0.8114824335904027,713.0,454.0,598.0,349.0
1,0.7926306769494429,0.8093121823636085,0.8650564408004894,0.7802871159276124,0.609214657464543,0.7811761971176197,0.7926306769494429,0.8312412831241283,0.7311111111111112,0.7922874715612236,125.0,117.0,0.5624329556131742,0.8266296809986129,0.7376681614349776,0.7821489212167954,0.7926306769494429,0.7920208293431799,0.8359046283309958,0.7246696035242289,0.7802871159276124,0.7926306769494429,0.7926306769494429,713.0,454.0,596.0,329.0
1,0.7832047986289632,0.7923136827639257,0.8524171257907136,0.7687637969094923,0.6149669305698292,0.770360103693437,0.7832047986289633,0.8246708246708246,0.7160493827160493,0.7825067173824671,134.0,119.0,0.541001103583792,0.8161865569272977,0.728310502283105,0.7722485296052013,0.7832047986289632,0.7820752863584722,0.8333333333333334,0.7041942604856513,0.7687637969094923,0.7832047986289632,0.7832047986289632,714.0,453.0,595.0,319.0
1,0.7933104631217839,0.8055328441091857,0.8545229094489286,0.7754521051800526,0.5082023039057448,0.7791755171386788,0.7933104631217839,0.8350444900752909,0.7233065442020667,0.791633435632263,138.0,103.0,0.5599264942480534,0.8155080213903744,0.7535885167464115,0.7845482690683929,0.7933104631217839,0.7914518158983374,0.8555399719495091,0.6953642384105961,0.7754521051800526,0.7933104631217839,0.7933104631217839,713.0,453.0,610.0,315.0
1,0.8078902229845626,0.7948682171420758,0.8736969370473918,0.7986432974497584,0.5969232538261929,0.7981607703126692,0.8078902229845626,0.8424753867791843,0.7538461538461539,0.808042245682561,110.0,114.0,0.5963420255838172,0.844851904090268,0.75054704595186,0.7976994750210641,0.8078902229845626,0.8082137387929276,0.8401122019635343,0.7571743929359823,0.7986432974497584,0.8078902229845626,0.8078902229845626,713.0,453.0,599.0,343.0
mean,0.7977037190550311,0.8066590643883691,0.8649704661715143,0.785372477531354,0.5699391459291046,0.7862726528764388,0.7977037190550311,0.835612950602202,0.7369323551506752,0.7972626837213547,122.4,113.6,0.5729623705801202,0.8307632554409123,0.7444538797660295,0.7876085676034709,0.7977037190550311,0.797217603901007,0.8407199625993454,0.7300249924633623,0.785372477531354,0.7977037190550311,0.7977037190550311,713.2,453.4,599.6,331.0
