,_quintil,bp_em1_abs,bp_em1_per,bp_negative_abs,bp_negative_per,bp_positive_abs,bp_positive_per,mec_affection_abs,mec_affection_per,mec_em2_abs,mec_em2_per,mec_fear_abs,mec_fear_per,mec_joy_abs,mec_joy_per,mec_rejection_abs,mec_rejection_per,mec_suffering_abs,mec_suffering_per,tt_admiration_abs,tt_admiration_per,tt_anger_abs,tt_anger_per,tt_compassion_abs,tt_compassion_per,tt_desire_abs,tt_desire_per,tt_despair_abs,tt_despair_per,tt_em3_abs,tt_em3_per,tt_fear_abs,tt_fear_per,tt_friendship_abs,tt_friendship_per,tt_hate_abs,tt_hate_per,tt_joy_abs,tt_joy_per,tt_love_abs,tt_love_per,tt_schadenfreude_abs,tt_schadenfreude_per,tt_suffering_abs,tt_suffering_per
0,1,60,0.20202020202020202,138,0.46464646464646464,99,0.3333333333333333,49,0.16498316498316498,60,0.20202020202020202,16,0.05387205387205387,46,0.15488215488215487,76,0.2558922558922559,50,0.16835016835016836,13,0.04377104377104377,31,0.10437710437710437,2,0.006734006734006734,0,0,4,0.013468013468013467,82,0.2760942760942761,11,0.037037037037037035,6,0.020202020202020204,22,0.07407407407407407,46,0.15488215488215487,24,0.08080808080808081,4,0.013468013468013467,52,0.1750841750841751
1,2,60,0.20202020202020202,192,0.6464646464646465,45,0.15151515151515152,23,0.07744107744107744,70,0.2356902356902357,19,0.06397306397306397,23,0.07744107744107744,108,0.36363636363636365,54,0.18181818181818182,4,0.013468013468013467,61,0.2053872053872054,6,0.020202020202020204,0,0,5,0.016835016835016835,104,0.3501683501683502,18,0.06060606060606061,4,0.013468013468013467,29,0.09764309764309764,13,0.04377104377104377,9,0.030303030303030304,3,0.010101010101010102,41,0.13804713804713806
2,3,54,0.18181818181818182,142,0.4781144781144781,101,0.3400673400673401,53,0.17845117845117844,56,0.18855218855218855,20,0.06734006734006734,45,0.15151515151515152,79,0.265993265993266,44,0.14814814814814814,9,0.030303030303030304,48,0.16161616161616163,0,0.0,0,0,1,0.003367003367003367,81,0.2727272727272727,25,0.08417508417508418,10,0.03367003367003367,18,0.06060606060606061,36,0.12121212121212122,32,0.10774410774410774,3,0.010101010101010102,34,0.11447811447811448
3,4,77,0.26013513513513514,143,0.4831081081081081,76,0.25675675675675674,30,0.10135135135135136,77,0.26013513513513514,22,0.07432432432432433,52,0.17567567567567569,69,0.23310810810810811,46,0.1554054054054054,2,0.006756756756756757,33,0.11148648648648649,3,0.010135135135135136,0,0,4,0.013513513513513514,112,0.3783783783783784,15,0.05067567567567568,6,0.02027027027027027,24,0.08108108108108109,42,0.14189189189189189,14,0.0472972972972973,6,0.02027027027027027,35,0.11824324324324324
4,5,61,0.20608108108108109,151,0.5101351351351351,84,0.28378378378378377,45,0.15202702702702703,59,0.19932432432432431,21,0.07094594594594594,46,0.1554054054054054,66,0.22297297297297297,59,0.19932432432432431,4,0.013513513513513514,43,0.14527027027027026,10,0.033783783783783786,0,0,0,0.0,77,0.26013513513513514,21,0.07094594594594594,3,0.010135135135135136,13,0.04391891891891892,37,0.125,30,0.10135135135135136,6,0.02027027027027027,52,0.17567567567567569
