,acc,bal_acc,eval_loss,f1_macro,f1_micro,f1_score_class_0,f1_score_class_1,f1_score_class_2,f1_score_class_3,f1_score_class_4,f1_score_class_5,f1_weighted,mcc,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_macro,precision_micro,precision_weighted,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_macro,recall_micro,recall_weighted,sample_class_0,sample_class_1,sample_class_2,sample_class_3,sample_class_4,sample_class_5
1,0.6995908825248393,0.6743266641923943,1.155067577958107,0.6765313852968532,0.6995908825248393,0.7192429022082019,0.6153846153846153,0.7363636363636364,0.5558739255014326,0.7,0.7323232323232323,0.698775145631205,0.6280453567223084,0.7102803738317757,0.6129032258064516,0.7216035634743875,0.5773809523809523,0.728,0.7268170426065163,0.6794975263500138,0.6995908825248393,0.6986680536331465,0.7284345047923323,0.6178861788617886,0.7517401392111369,0.5359116022099447,0.674074074074074,0.7379134860050891,0.6743266641923943,0.6995908825248393,0.6995908825248393,313.0,123.0,431.0,181.0,270.0,393.0
1,0.706019871420222,0.6783138203321561,1.1089501082897186,0.6800464544243816,0.706019871420222,0.7165605095541401,0.6050420168067226,0.7465116279069767,0.5738161559888579,0.6691176470588235,0.7692307692307692,0.7055809903987842,0.6363419708560295,0.7142857142857143,0.6206896551724138,0.7482517482517482,0.5819209039548022,0.6642335766423357,0.7625,0.6819802663845024,0.706019871420222,0.7052643133910995,0.7188498402555911,0.5901639344262295,0.7447795823665894,0.5659340659340659,0.674074074074074,0.7760814249363868,0.6783138203321561,0.706019871420222,0.706019871420222,313.0,122.0,431.0,182.0,270.0,393.0
1,0.7187134502923976,0.6797069703786706,1.103302479894073,0.6879163286397391,0.7187134502923976,0.7233384853168471,0.5903083700440528,0.7396648044692737,0.5535714285714286,0.7311411992263056,0.7894736842105262,0.7163420907625089,0.6508678633385716,0.7005988023952096,0.6442307692307693,0.7133620689655172,0.6,0.7620967741935484,0.7777777777777778,0.6996776987604704,0.7187134502923976,0.7165248891309676,0.7476038338658147,0.5447154471544715,0.7679814385150812,0.5138121546961326,0.7026022304832714,0.8015267175572519,0.6797069703786706,0.7187134502923976,0.7187134502923976,313.0,123.0,431.0,181.0,269.0,393.0
1,0.6976608187134503,0.6741740569659062,1.1566228256733329,0.6741032101167587,0.6976608187134503,0.7062499999999999,0.576271186440678,0.7197231833910036,0.6031746031746031,0.6642335766423358,0.7749667110519309,0.6985615073246405,0.6269905809200291,0.6932515337423313,0.6017699115044248,0.7139588100686499,0.5786802030456852,0.6523297491039427,0.8128491620111732,0.6754732282460344,0.6976608187134503,0.7008002976434365,0.7197452229299363,0.5528455284552846,0.7255813953488373,0.6298342541436464,0.6765799256505576,0.7404580152671756,0.6741740569659062,0.6976608187134503,0.6976608187134503,314.0,123.0,430.0,181.0,269.0,393.0
1,0.7011695906432749,0.6728458762614734,1.1289752269232716,0.6796091928660623,0.7011695906432749,0.6790123456790124,0.6330275229357799,0.7435897435897437,0.5706666666666667,0.6923076923076923,0.7590511860174781,0.7009694145946398,0.6301077788658994,0.6567164179104478,0.7263157894736842,0.7453271028037384,0.5515463917525774,0.72,0.7450980392156863,0.6908339568593557,0.7011695906432749,0.7031772873893695,0.7028753993610224,0.5609756097560976,0.7418604651162791,0.5911602209944752,0.6666666666666666,0.7735368956743003,0.6728458762614734,0.7011695906432749,0.7011695906432749,313.0,123.0,430.0,181.0,270.0,393.0
mean,0.7046309227188369,0.67587347762612,1.1305836437477006,0.679641314268759,0.7046309227188369,0.7088808485516402,0.6040067423223697,0.7371705991441269,0.5714205559805977,0.6913600230470316,0.7650091165667874,0.7040458297423556,0.6344707101405677,0.6950265684330957,0.6411818702375488,0.7285006587128082,0.5779056902268034,0.7053320199879654,0.7650084043222307,0.6854925353200753,0.7046309227188369,0.7048869682376039,0.7235017602409395,0.5733173397307744,0.7463886041115848,0.567330459595653,0.6787993941897287,0.7659033078880407,0.67587347762612,0.7046309227188369,0.7046309227188369,313.2,122.8,430.6,181.2,269.6,393.0
