,acc,bal_acc,eval_loss,f1_macro,f1_micro,f1_score_class_0,f1_score_class_1,f1_score_class_2,f1_weighted,mcc,precision_class_0,precision_class_1,precision_class_2,precision_macro,precision_micro,precision_weighted,recall_class_0,recall_class_1,recall_class_2,recall_macro,recall_micro,recall_weighted,sample_class_0,sample_class_1,sample_class_2
1,0.7674330946098756,0.6846222347284359,0.8452574651104858,0.6869916069396096,0.7674330946098756,0.8112335584784928,0.4581818181818181,0.7915594441585178,0.7666086807983793,0.5949593373457702,0.8057909604519774,0.4684014869888476,0.7944214876033058,0.6895379783480436,0.7674330946098756,0.7658770222421795,0.8167501789549033,0.4483985765124555,0.7887179487179488,0.6846222347284359,0.7674330946098756,0.7674330946098756,1397.0,281.0,975.0
1,0.7610252544289483,0.6863808842314834,0.8589328548994409,0.6905655543099384,0.7610252544289483,0.7991391678622668,0.4925373134328359,0.7800201816347125,0.7595298140987019,0.5839928099654134,0.8008626887131558,0.5196850393700787,0.7668650793650794,0.695804269149438,0.7610252544289483,0.7584933827878736,0.7974230493915533,0.4680851063829787,0.7936344969199178,0.6863808842314834,0.7610252544289483,0.7610252544289483,1397.0,282.0,974.0
1,0.7391632114587259,0.6672568396987822,0.8971246068018028,0.6642243551926565,0.7391632114587259,0.7845499645641391,0.4436974789915967,0.7644256220222341,0.7409308501399879,0.5490796068296928,0.7768421052631579,0.4217252396166134,0.7890710382513662,0.6625461277103791,0.7391632114587259,0.7435846701399725,0.7924123120973514,0.4680851063829787,0.7412731006160165,0.6672568396987822,0.7391632114587259,0.7391632114587259,1397.0,282.0,974.0
1,0.765925367508481,0.6746384069543803,0.8744863204388733,0.6873357433836097,0.765925367508481,0.8106427090532137,0.4771371769383697,0.7742273441592455,0.7618235890143479,0.5867193381185851,0.7835671342685371,0.5429864253393665,0.7903743315508022,0.7056426303862353,0.765925367508481,0.7604938022801843,0.8396564065855404,0.425531914893617,0.7587268993839835,0.6746384069543803,0.765925367508481,0.765925367508481,1397.0,282.0,974.0
1,0.7537707390648567,0.6807132672259995,0.8601138760526497,0.6809279926751497,0.7537707390648567,0.7948350071736011,0.4722719141323792,0.7756770567194686,0.7536208017109659,0.5728701287781004,0.7965492451473759,0.4748201438848921,0.7721261444557477,0.6811651778293385,0.7537707390648567,0.7534896759436037,0.7931281317108089,0.4697508896797153,0.7792607802874744,0.6807132672259995,0.7537707390648567,0.7537707390648567,1397.0,281.0,974.0
mean,0.7574635334141775,0.6787223265678162,0.8671830246606504,0.6820090505001928,0.7574635334141775,0.8000800814263427,0.4687651403353999,0.7771819297388357,0.7565027471524765,0.5775242442075124,0.7927224267688409,0.4855236670399597,0.7825716162452603,0.6869392366846869,0.7574635334141775,0.7563877106787628,0.8078740157480315,0.455970318770349,0.7723226451850682,0.6787223265678162,0.7574635334141775,0.7574635334141775,1397.0,281.6,974.2
