,_quintil,bp_em1_abs,bp_em1_per,bp_negative_abs,bp_negative_per,bp_positive_abs,bp_positive_per,mec_affection_abs,mec_affection_per,mec_em2_abs,mec_em2_per,mec_fear_abs,mec_fear_per,mec_joy_abs,mec_joy_per,mec_rejection_abs,mec_rejection_per,mec_suffering_abs,mec_suffering_per,tt_admiration_abs,tt_admiration_per,tt_anger_abs,tt_anger_per,tt_compassion_abs,tt_compassion_per,tt_desire_abs,tt_desire_per,tt_despair_abs,tt_despair_per,tt_em3_abs,tt_em3_per,tt_fear_abs,tt_fear_per,tt_friendship_abs,tt_friendship_per,tt_hate_abs,tt_hate_per,tt_joy_abs,tt_joy_per,tt_love_abs,tt_love_per,tt_schadenfreude_abs,tt_schadenfreude_per,tt_suffering_abs,tt_suffering_per
0,1,5,0.0625,62,0.775,13,0.1625,2,0.025,11,0.1375,4,0.05,7,0.0875,37,0.4625,19,0.2375,0,0.0,29,0.3625,3,0.0375,0,0,0,0,14,0.175,1,0.0125,0,0,4,0.05,9,0.1125,1,0.0125,2,0.025,17,0.2125
1,2,19,0.2375,47,0.5875,14,0.175,3,0.0375,27,0.3375,5,0.0625,5,0.0625,30,0.375,10,0.125,0,0.0,23,0.2875,2,0.025,0,0,0,0,32,0.4,5,0.0625,0,0,1,0.0125,5,0.0625,3,0.0375,1,0.0125,8,0.1
2,3,11,0.1375,52,0.65,17,0.2125,6,0.075,19,0.2375,4,0.05,8,0.1,25,0.3125,18,0.225,4,0.05,15,0.1875,1,0.0125,0,0,0,0,19,0.2375,2,0.025,0,0,10,0.125,7,0.0875,1,0.0125,1,0.0125,20,0.25
3,4,21,0.2625,39,0.4875,20,0.25,7,0.0875,25,0.3125,3,0.0375,9,0.1125,32,0.4,4,0.05,3,0.0375,16,0.2,0,0.0,0,0,0,0,31,0.3875,2,0.025,0,0,16,0.2,6,0.075,1,0.0125,1,0.0125,4,0.05
4,5,17,0.21518987341772153,46,0.5822784810126582,16,0.20253164556962025,1,0.012658227848101266,20,0.25316455696202533,2,0.02531645569620253,16,0.20253164556962025,33,0.4177215189873418,7,0.08860759493670886,0,0.0,28,0.35443037974683544,1,0.012658227848101266,0,0,0,0,30,0.379746835443038,3,0.0379746835443038,0,0,5,0.06329113924050633,3,0.0379746835443038,1,0.012658227848101266,0,0.0,8,0.10126582278481013
