,_quintil,bp_em1_abs,bp_em1_per,bp_negative_abs,bp_negative_per,bp_positive_abs,bp_positive_per,mec_affection_abs,mec_affection_per,mec_em2_abs,mec_em2_per,mec_fear_abs,mec_fear_per,mec_joy_abs,mec_joy_per,mec_rejection_abs,mec_rejection_per,mec_suffering_abs,mec_suffering_per,tt_admiration_abs,tt_admiration_per,tt_anger_abs,tt_anger_per,tt_compassion_abs,tt_compassion_per,tt_desire_abs,tt_desire_per,tt_despair_abs,tt_despair_per,tt_em3_abs,tt_em3_per,tt_fear_abs,tt_fear_per,tt_friendship_abs,tt_friendship_per,tt_hate_abs,tt_hate_per,tt_joy_abs,tt_joy_per,tt_love_abs,tt_love_per,tt_schadenfreude_abs,tt_schadenfreude_per,tt_suffering_abs,tt_suffering_per
0,1,33,0.14732142857142858,85,0.3794642857142857,106,0.4732142857142857,51,0.22767857142857142,41,0.18303571428571427,23,0.10267857142857142,50,0.22321428571428573,29,0.12946428571428573,30,0.13392857142857142,25,0.11160714285714286,10,0.044642857142857144,0,0.0,0,0,5,0.022321428571428572,50,0.22321428571428573,8,0.03571428571428571,4,0.017857142857142856,9,0.04017857142857143,33,0.14732142857142858,37,0.16517857142857142,3,0.013392857142857142,40,0.17857142857142858
1,2,30,0.13392857142857142,112,0.5,82,0.36607142857142855,24,0.10714285714285714,35,0.15625,18,0.08035714285714286,52,0.23214285714285715,49,0.21875,46,0.20535714285714285,14,0.0625,17,0.07589285714285714,2,0.008928571428571428,0,0,8,0.03571428571428571,36,0.16071428571428573,7,0.03125,0,0.0,24,0.10714285714285714,38,0.16964285714285715,16,0.07142857142857142,5,0.022321428571428572,57,0.2544642857142857
2,3,48,0.21428571428571427,97,0.4330357142857143,79,0.35267857142857145,41,0.18303571428571427,39,0.17410714285714285,18,0.08035714285714286,41,0.18303571428571427,53,0.23660714285714285,32,0.14285714285714285,21,0.09375,15,0.06696428571428571,7,0.03125,0,0,2,0.008928571428571428,62,0.2767857142857143,14,0.0625,3,0.013392857142857142,17,0.07589285714285714,35,0.15625,16,0.07142857142857142,2,0.008928571428571428,30,0.13392857142857142
3,4,42,0.18834080717488788,107,0.4798206278026906,74,0.33183856502242154,43,0.19282511210762332,49,0.21973094170403587,10,0.04484304932735426,35,0.15695067264573992,68,0.30493273542600896,18,0.08071748878923767,17,0.07623318385650224,35,0.15695067264573992,2,0.008968609865470852,0,0,3,0.013452914798206279,64,0.28699551569506726,5,0.02242152466367713,2,0.008968609865470852,15,0.06726457399103139,24,0.10762331838565023,26,0.11659192825112108,3,0.013452914798206279,27,0.1210762331838565
4,5,41,0.18385650224215247,112,0.5022421524663677,70,0.31390134529147984,37,0.16591928251121077,47,0.21076233183856502,15,0.06726457399103139,46,0.2062780269058296,45,0.20179372197309417,33,0.14798206278026907,15,0.06726457399103139,26,0.11659192825112108,2,0.008968609865470852,0,0,5,0.02242152466367713,61,0.273542600896861,8,0.03587443946188341,2,0.008968609865470852,18,0.08071748878923767,24,0.10762331838565023,25,0.11210762331838565,3,0.013452914798206279,34,0.15246636771300448
