,_quintil,bp_em1_abs,bp_em1_per,bp_negative_abs,bp_negative_per,bp_positive_abs,bp_positive_per,mec_affection_abs,mec_affection_per,mec_em2_abs,mec_em2_per,mec_fear_abs,mec_fear_per,mec_joy_abs,mec_joy_per,mec_rejection_abs,mec_rejection_per,mec_suffering_abs,mec_suffering_per,tt_admiration_abs,tt_admiration_per,tt_anger_abs,tt_anger_per,tt_compassion_abs,tt_compassion_per,tt_desire_abs,tt_desire_per,tt_despair_abs,tt_despair_per,tt_em3_abs,tt_em3_per,tt_fear_abs,tt_fear_per,tt_friendship_abs,tt_friendship_per,tt_hate_abs,tt_hate_per,tt_joy_abs,tt_joy_per,tt_love_abs,tt_love_per,tt_schadenfreude_abs,tt_schadenfreude_per,tt_suffering_abs,tt_suffering_per
0,1,61,0.12373225152129817,295,0.5983772819472617,137,0.2778904665314402,64,0.12981744421906694,59,0.11967545638945233,67,0.1359026369168357,69,0.13995943204868155,140,0.2839756592292089,94,0.19066937119675456,46,0.09330628803245436,69,0.13995943204868155,5,0.010141987829614604,0,0,16,0.032454361054766734,89,0.18052738336713997,30,0.060851926977687626,1,0.002028397565922921,51,0.10344827586206896,66,0.13387423935091278,18,0.036511156186612576,13,0.02636916835699797,89,0.18052738336713997
1,2,84,0.17073170731707318,289,0.5873983739837398,119,0.241869918699187,55,0.11178861788617886,108,0.21951219512195122,50,0.1016260162601626,63,0.12804878048780488,129,0.2621951219512195,87,0.17682926829268292,25,0.0508130081300813,87,0.17682926829268292,15,0.03048780487804878,0,0,8,0.016260162601626018,132,0.2682926829268293,36,0.07317073170731707,3,0.006097560975609756,34,0.06910569105691057,52,0.10569105691056911,24,0.04878048780487805,4,0.008130081300813009,72,0.14634146341463414
2,3,51,0.10365853658536585,281,0.5711382113821138,160,0.3252032520325203,75,0.1524390243902439,60,0.12195121951219512,47,0.09552845528455285,80,0.16260162601626016,148,0.3008130081300813,82,0.16666666666666666,54,0.10975609756097561,79,0.16056910569105692,5,0.01016260162601626,0,0,8,0.016260162601626018,79,0.16056910569105692,29,0.05894308943089431,2,0.0040650406504065045,60,0.12195121951219512,63,0.12804878048780488,21,0.042682926829268296,9,0.018292682926829267,83,0.16869918699186992
3,4,77,0.1565040650406504,260,0.5284552845528455,155,0.3150406504065041,65,0.13211382113821138,85,0.17276422764227642,31,0.06300813008130081,83,0.16869918699186992,166,0.33739837398373984,62,0.12601626016260162,37,0.07520325203252033,105,0.21341463414634146,5,0.01016260162601626,0,0,2,0.0040650406504065045,111,0.22560975609756098,35,0.07113821138211382,5,0.01016260162601626,47,0.09552845528455285,64,0.13008130081300814,21,0.042682926829268296,14,0.028455284552845527,46,0.09349593495934959
4,5,66,0.13414634146341464,222,0.45121951219512196,204,0.4146341463414634,99,0.20121951219512196,84,0.17073170731707318,45,0.09146341463414634,100,0.2032520325203252,98,0.1991869918699187,66,0.13414634146341464,72,0.14634146341463414,50,0.1016260162601626,6,0.012195121951219513,0,0,15,0.03048780487804878,117,0.23780487804878048,16,0.032520325203252036,6,0.012195121951219513,32,0.06504065040650407,75,0.1524390243902439,27,0.054878048780487805,4,0.008130081300813009,72,0.14634146341463414
