,acc,bal_acc,eval_loss,f1_macro,f1_micro,f1_score_class_0,f1_score_class_1,f1_score_class_10,f1_score_class_11,f1_score_class_12,f1_score_class_2,f1_score_class_3,f1_score_class_4,f1_score_class_5,f1_score_class_6,f1_score_class_7,f1_score_class_8,f1_score_class_9,f1_weighted,mcc,precision_class_0,precision_class_1,precision_class_10,precision_class_11,precision_class_12,precision_class_2,precision_class_3,precision_class_4,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,precision_macro,precision_micro,precision_weighted,recall_class_0,recall_class_1,recall_class_10,recall_class_11,recall_class_12,recall_class_2,recall_class_3,recall_class_4,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9,recall_macro,recall_micro,recall_weighted,sample_class_0,sample_class_1,sample_class_10,sample_class_11,sample_class_12,sample_class_2,sample_class_3,sample_class_4,sample_class_5,sample_class_6,sample_class_7,sample_class_8,sample_class_9
1,0.3886166603844704,0.2360827467537752,1.956308765583728,0.20362249768153445,0.3886166603844704,0.4020618556701031,0.0,0.0,0.0,0.0,0.43022222222222223,0.0,0.0,0.3890675241157557,0.395959595959596,0.5241379310344827,0.0,0.5056433408577878,0.3303988118338252,0.3034599607365806,0.3458980044345898,0.0,0.0,0.0,0.0,0.34036568213783397,0.0,0.0,0.3548387096774194,0.460093896713615,0.4726368159203979,0.0,0.4186915887850468,0.1840403613591464,0.3886166603844704,0.29491399899914783,0.48,0.0,0.0,0.0,0.0,0.5845410628019324,0.0,0.0,0.4306049822064057,0.3475177304964539,0.5882352941176471,0.0,0.6381766381766382,0.2360827467537752,0.3886166603844704,0.3886166603844704,325.0,127.0,155.0,10.0,69.0,414.0,107.0,144.0,281.0,282.0,323.0,65.0,351.0
1,0.390124387485865,0.2347382155578318,1.972265961658524,0.2014367108991008,0.390124387485865,0.41198501872659177,0.0,0.0,0.0,0.0,0.4271186440677966,0.0,0.0,0.3411764705882353,0.3752577319587629,0.5106918238993711,0.0,0.5524475524475525,0.328463438559519,0.305449517593114,0.3466386554621849,0.0,0.0,0.0,0.0,0.3289817232375979,0.0,0.0,0.3799126637554585,0.44607843137254893,0.4309978768577495,0.0,0.4674556213017752,0.1846203824605627,0.390124387485865,0.2957707234660308,0.5076923076923077,0.0,0.0,0.0,0.0,0.6086956521739131,0.0,0.0,0.3096085409252669,0.3238434163701068,0.6265432098765432,0.0,0.6752136752136753,0.2347382155578318,0.390124387485865,0.390124387485865,325.0,126.0,155.0,10.0,69.0,414.0,108.0,145.0,281.0,281.0,324.0,64.0,351.0
1,0.3784395024500565,0.2267189607498556,1.9740440845489504,0.19390171627521224,0.3784395024500565,0.4190715181932246,0.0,0.0,0.0,0.0,0.4395604395604396,0.0,0.0,0.34,0.34624145785877003,0.4993531694695989,0.0,0.4764957264957265,0.31647605786570826,0.29214811228166804,0.3538135593220339,0.0,0.0,0.0,0.0,0.3376623376623377,0.0,0.0,0.3881278538812785,0.4810126582278481,0.4298440979955457,0.0,0.3811965811965812,0.18243516063735574,0.3784395024500565,0.2908940534818801,0.5138461538461538,0.0,0.0,0.0,0.0,0.6295399515738499,0.0,0.0,0.302491103202847,0.2704626334519573,0.595679012345679,0.0,0.6353276353276354,0.2267189607498556,0.3784395024500565,0.3784395024500565,325.0,126.0,156.0,11.0,69.0,413.0,107.0,144.0,281.0,281.0,324.0,65.0,351.0
1,0.391255182811911,0.23494308540295356,1.946381050420095,0.20142205672358493,0.391255182811911,0.42144638403990026,0.0,0.012820512820512822,0.0,0.0,0.4404455869751499,0.0,0.0,0.3653483992467044,0.3523809523809524,0.4921465968586388,0.0,0.5338983050847458,0.32786449684708235,0.30728011106249864,0.35429769392033544,0.0,1.0,0.0,0.0,0.34130146082337315,0.0,0.0,0.38645418326693226,0.5362318840579711,0.4272727272727273,0.0,0.42495784148397975,0.2669627531404092,0.391255182811911,0.361276548783006,0.52,0.0,0.0064516129032258064,0.0,0.0,0.6207729468599034,0.0,0.0,0.3464285714285714,0.2624113475177305,0.5802469135802469,0.0,0.7179487179487181,0.23494308540295356,0.391255182811911,0.391255182811911,325.0,126.0,155.0,11.0,69.0,414.0,107.0,144.0,280.0,282.0,324.0,65.0,351.0
1,0.3552036199095023,0.20959414397090811,2.0249631807028527,0.1731647274822184,0.3552036199095023,0.39816933638443935,0.0,0.0,0.0,0.0,0.4079273327828241,0.0,0.0,0.16231884057971016,0.33796296296296297,0.4577259475218658,0.0,0.487037037037037,0.28593325339818665,0.2668536606539671,0.3169398907103825,0.0,0.0,0.0,0.0,0.3099121706398996,0.0,0.0,0.4307692307692308,0.4866666666666667,0.4337016574585635,0.0,0.3607681755829904,0.1799044455252103,0.3552036199095023,0.2851860687735225,0.5353846153846153,0.0,0.0,0.0,0.0,0.5966183574879227,0.0,0.0,0.1,0.25886524822695034,0.4845679012345679,0.0,0.7492877492877493,0.20959414397090811,0.3552036199095023,0.3552036199095023,325.0,126.0,155.0,10.0,69.0,414.0,107.0,144.0,280.0,282.0,324.0,65.0,351.0
mean,0.38072787060836105,0.22841543048706484,1.97479260858283,0.1947095418123302,0.38072787060836105,0.4105468226028518,0.0,0.0025641025641025645,0.0,0.0,0.4290548451216864,0.0,0.0,0.3195822469060811,0.3615605402242089,0.4968110937567915,0.0,0.51110439238457,0.31782721170086425,0.2950382724655657,0.3435175607699053,0.0,0.2,0.0,0.0,0.33164467490020844,0.0,0.0,0.38802052827006384,0.48201670740773006,0.4388906351009968,0.0,0.4106139616700747,0.19959262062453687,0.38072787060836105,0.3056082787007174,0.5113846153846153,0.0,0.0012903225806451613,0.0,0.0,0.6080335941795043,0.0,0.0,0.29782663955261823,0.2926200752126397,0.5750544662309369,0.0,0.6831908831908833,0.22841543048706484,0.38072787060836105,0.38072787060836105,325.0,126.2,155.2,10.4,69.0,413.8,107.2,144.2,280.6,281.6,323.8,64.8,351.0
